,sentiment,sp500_open,sp500_high,sp500_low,sp500_close,sp500_avg_close,sp500_avg_volume,sp500_monthly_return,sp500_intra_volatility,sentiment_z,sp500_close_z,sentiment_pct_change,rolling_corr_12m
1978-01,83.7,95.1,95.15,88.02,89.25,90.2495,20387619.0476,,8.1004,-0.0118,-0.898,,
1978-02,84.3,89.25,91.32,86.58,87.04,88.9753,19400000.0,-2.4762,5.4747,0.0312,-0.8994,0.7168,
1978-03,78.8,87.04,91.35,86.45,89.21,88.8195,22617272.7273,2.4931,5.668,-0.3626,-0.898,-6.5243,
1978-04,81.6,89.2,97.91,88.07,96.83,92.7105,34780000.0,8.5416,11.1729,-0.1621,-0.893,3.5533,
1978-05,82.9,96.83,100.32,94.57,97.24,97.4123,35261363.6364,0.4234,6.0802,-0.069,-0.8927,1.5931,
1978-06,80.0,97.24,101.84,93.99,95.53,97.6618,30285909.0909,-1.7585,8.352,-0.2767,-0.8939,-3.4982,-0.2275
1978-07,82.4,95.53,101.18,93.59,100.68,97.1925,27074500.0,5.391,8.1098,-0.1048,-0.8905,3.0,-0.122
1978-08,78.4,100.68,106.27,99.95,103.29,103.9217,37606521.7391,2.5924,6.3232,-0.3913,-0.8888,-4.8544,-0.4103
1978-09,80.4,103.29,108.05,100.66,102.54,103.857,33614500.0,-0.7261,7.3415,-0.2481,-0.8893,2.551,-0.4403
1978-10,79.3,102.54,106.23,91.65,93.15,100.5836,31015454.5455,-9.1574,15.9083,-0.3268,-0.8954,-1.3682,-0.3689
1978-11,75.0,94.13,97.41,91.77,94.7,94.7095,24505238.0952,1.664,6.1458,-0.6347,-0.8944,-5.4224,-0.2398
1978-12,66.1,95.01,98.58,92.64,96.11,96.1075,24622000.0,1.4889,6.4119,-1.272,-0.8935,-11.8667,-0.1595
1979-01,72.1,96.11,102.59,95.22,99.93,99.705,27987727.2727,3.9746,7.74,-0.8424,-0.891,9.0772,-0.1451
1979-02,73.9,99.93,100.52,95.38,96.28,98.2295,25037368.4211,-3.6526,5.389,-0.7135,-0.8934,2.4965,0.1018
1979-03,68.4,96.28,103.31,95.98,101.59,100.1123,29536363.6364,5.5152,7.637,-1.1073,-0.8899,-7.4425,0.008
1979-04,66.0,101.56,103.95,100.14,101.76,102.066,31032500.0,0.1673,3.8047,-1.2792,-0.8898,-3.5088,-0.1038
1979-05,68.1,101.76,102.57,97.49,99.08,99.7277,28351818.1818,-2.6336,5.2108,-1.1288,-0.8915,3.1818,-0.0696
1979-06,65.8,99.08,103.67,98.57,102.91,101.7276,35033809.5238,3.8656,5.174,-1.2935,-0.889,-3.3774,-0.1006
1979-07,60.4,102.91,105.17,100.35,103.81,102.7114,32416190.4762,0.8745,4.8032,-1.6802,-0.8884,-8.2067,-0.3384
1979-08,64.5,103.81,109.84,103.14,109.32,107.3561,35871739.1304,5.3078,6.496,-1.3866,-0.8848,6.7881,-0.557
1979-09,66.7,109.32,111.58,105.38,109.32,108.5968,37575789.4737,0.0,5.8835,-1.2291,-0.8848,3.4109,-0.724
1979-10,62.1,109.19,112.16,99.06,101.82,104.473,37301304.3478,-6.8606,13.2243,-1.5585,-0.8897,-6.8966,-0.5978
1979-11,63.3,101.82,107.89,99.42,106.16,103.6638,31126190.4762,4.2624,8.5194,-1.4725,-0.8869,1.9324,-0.5097
1979-12,61.0,106.16,110.33,105.07,107.94,107.776,35510500.0,1.6767,5.0062,-1.6372,-0.8858,-3.6335,-0.6408
1980-01,67.0,107.94,117.17,103.26,114.16,110.8682,52647272.7273,5.7625,13.4708,-1.2076,-0.8817,9.8361,-0.4096
1980-02,66.9,114.16,120.22,111.33,113.66,115.339,47826500.0,-0.438,7.9853,-1.2148,-0.882,-0.1493,0.0396
1980-03,56.5,113.66,114.34,94.23,102.09,104.6862,41735714.2857,-10.1795,21.3414,-1.9595,-0.8896,-15.5456,0.2907
1980-04,52.7,102.09,106.79,98.95,106.29,102.9667,32101904.7619,4.114,7.9232,-2.2316,-0.8868,-6.7257,0.2648
1980-05,51.7,106.29,112.72,103.5,111.24,107.6943,36424761.9048,4.6571,8.9082,-2.3032,-0.8836,-1.8975,0.2533
1980-06,58.7,111.24,117.98,109.77,114.24,114.5467,39507619.0476,2.6969,7.4793,-1.8019,-0.8816,13.5397,0.2737
1980-07,62.3,114.24,123.93,113.54,121.67,119.8327,46444090.9091,6.5039,9.151,-1.5441,-0.8768,6.1329,0.2545
1980-08,67.3,121.67,127.78,119.42,122.38,123.4967,45983809.5238,0.5835,7.0005,-1.1861,-0.8763,8.0257,0.3948
1980-09,73.7,122.38,132.17,121.79,125.46,126.5119,50367142.8571,2.5168,8.5229,-0.7278,-0.8743,9.5097,0.6109
1980-10,75.0,125.46,135.88,124.66,127.47,130.2217,44860434.7826,1.6021,9.0005,-0.6347,-0.873,1.7639,0.7585
1980-11,76.7,127.47,141.96,127.23,140.52,135.6544,54895000.0,10.2377,11.5775,-0.513,-0.8645,2.2667,0.8389
1980-12,64.5,140.52,140.66,125.32,135.76,133.4832,46620454.5455,-3.3874,12.2407,-1.3866,-0.8676,-15.9061,0.7587
1981-01,71.4,135.76,140.32,128.57,129.55,132.9657,45500952.381,-4.5742,9.139,-0.8925,-0.8716,10.6977,0.7977
1981-02,66.9,129.48,132.02,124.66,131.27,128.3953,42963684.2105,1.3277,5.9041,-1.2148,-0.8705,-6.3025,0.8231
1981-03,66.5,131.27,138.38,128.56,136.0,133.185,53387727.2727,3.6033,7.6385,-1.2434,-0.8674,-0.5979,0.7877
1981-04,72.4,136.0,137.72,131.58,132.81,134.4276,53498571.4286,-2.3456,4.6664,-0.8209,-0.8695,8.8722,0.7201
1981-05,76.3,132.81,134.92,128.78,132.59,131.727,45271500.0,-0.1657,4.7678,-0.5416,-0.8696,5.3867,0.5605
1981-06,73.1,132.59,135.67,128.77,131.21,132.2777,50044090.9091,-1.0408,5.3584,-0.7708,-0.8706,-4.194,0.3076
1981-07,74.1,131.21,131.78,125.96,130.92,129.1277,43362272.7273,-0.221,4.6205,-0.6992,-0.8707,1.368,0.05
1981-08,77.2,130.92,135.18,122.29,122.79,129.6295,43835714.2857,-6.2099,10.5405,-0.4772,-0.8761,4.1835,-0.3363
1981-09,73.1,122.79,124.58,110.19,116.18,118.2695,45673333.3333,-5.3832,13.0593,-0.7708,-0.8804,-5.3109,-0.2702
1981-10,70.3,116.18,123.28,115.0,121.89,119.7977,45343636.3636,4.9148,7.2,-0.9713,-0.8766,-3.8304,-0.1808
1981-11,62.5,122.35,126.97,119.13,126.35,122.9195,49396000.0,3.659,6.581,-1.5298,-0.8737,-11.0953,-0.2855
1981-12,64.3,126.35,127.32,121.04,122.55,123.7941,43612272.7273,-3.0075,5.1884,-1.4009,-0.8762,2.88,-0.0161
1982-01,71.0,122.55,123.72,113.63,120.4,117.2765,48417000.0,-1.7544,8.8797,-0.9212,-0.8776,10.4199,-0.0277
1982-02,66.5,119.81,119.81,110.03,113.11,114.4953,51167894.7368,-6.0548,8.8885,-1.2434,-0.8824,-6.338,0.1719
1982-03,62.0,113.11,114.8,104.46,111.96,110.8422,55160434.7826,-1.0167,9.8985,-1.5656,-0.8831,-6.7669,0.508
1982-04,65.5,111.96,119.33,111.48,116.44,116.3071,54118571.4286,4.0014,7.0416,-1.315,-0.8802,5.6452,0.5325
1982-05,67.5,115.96,119.92,111.66,111.88,116.353,51323000.0,-3.9162,7.3975,-1.1718,-0.8832,3.0534,0.4287
1982-06,65.7,111.97,112.48,107.01,109.61,109.6977,50478636.3636,-2.029,5.1117,-1.3007,-0.8847,-2.6667,0.3881
1982-07,65.4,109.52,112.39,105.57,107.09,109.3767,54532857.1429,-2.2991,6.4602,-1.3222,-0.8863,-0.4566,0.2647
1982-08,65.4,107.71,120.26,102.2,119.51,109.6514,76035000.0,11.5977,17.6712,-1.3222,-0.8782,0.0,0.0543
1982-09,69.3,119.52,126.43,117.84,120.42,122.4333,73716190.4762,0.7614,7.2895,-1.0429,-0.8776,5.9633,0.1369
1982-10,73.4,120.4,140.4,120.15,133.72,132.6605,98502857.1429,11.0447,16.8539,-0.7493,-0.8689,5.9163,0.4383
1982-11,72.1,133.72,144.36,132.89,138.53,138.101,88430476.1905,3.5971,8.6312,-0.8424,-0.8658,-1.7711,0.7381
1982-12,71.9,138.56,143.68,134.79,140.64,139.3659,76458181.8182,1.5231,6.5954,-0.8567,-0.8644,-0.2774,0.8262
1983-01,70.4,140.65,148.36,138.08,145.3,144.2671,88457142.8571,3.3134,7.445,-0.9641,-0.8613,-2.0862,0.8258
1983-02,74.6,145.29,150.88,141.9,148.06,146.7968,85023684.2105,1.8995,6.3284,-0.6634,-0.8595,5.9659,0.8647
1983-03,80.8,148.07,155.02,148.07,152.96,151.8765,82692173.913,3.3095,4.6937,-0.2194,-0.8563,8.311,0.8806
1983-04,89.1,152.92,164.43,150.17,164.43,157.712,89343500.0,7.4987,9.4959,0.3749,-0.8488,10.2723,0.884
1983-05,93.3,164.41,166.99,160.29,162.39,164.0971,93006190.4762,-1.2406,4.1799,0.6757,-0.8502,4.7138,0.8794
1983-06,92.2,162.38,171.6,160.8,167.64,166.3691,89720909.0909,3.233,6.7164,0.5969,-0.8468,-1.179,0.8978
1983-07,92.8,168.11,170.72,161.5,162.56,166.951,79508500.0,-3.0303,5.709,0.6399,-0.8501,0.6508,0.9125
